Frame,X,Y,Z,Roll,Pitch,Yaw
331,-3.8245,0.0000,0.0000,0.0000,0.4801,0.0000
332,-5.0981,0.0000,0.0000,0.0000,1.1369,0.0000
333,-6.4519,0.0000,0.0000,0.0000,1.6758,0.0000
334,-7.4572,0.0000,0.0000,0.0000,2.0871,0.0000
335,-8.8192,0.0000,0.0000,0.0000,2.8132,0.0000
336,-10.2423,0.0000,0.0000,0.0000,3.6374,0.0000
337,-11.6933,0.0000,0.0000,0.0000,4.3519,0.0000
338,-13.1486,0.0000,0.0000,0.0000,5.0530,0.0000
339,-14.4587,0.0000,0.0000,0.0000,5.7259,0.0000
340,-15.8200,0.0000,0.0000,0.0000,6.4377,0.0000
341,-17.1689,0.0000,0.0000,0.0000,7.2410,0.0000
342,-18.4911,0.0000,0.0000,0.0000,7.9623,0.0000
343,-19.8095,0.0000,0.0000,0.0000,8.7212,0.0000
344,-21.1926,0.0000,0.0000,0.0000,9.5026,0.0000
345,-22.5376,0.0000,0.0000,0.0000,10.2815,0.0000
346,-23.9042,0.0000,0.0000,0.0000,10.9800,0.0000
347,-25.1175,0.0000,0.0000,0.0000,11.6070,0.0000
348,-26.4596,0.0000,0.0000,0.0000,12.3583,0.0000
349,-27.8834,0.0000,0.0000,0.0000,13.1838,0.0000
350,-29.2093,0.0000,0.0000,0.0000,13.9093,0.0000
351,-30.4051,0.0000,0.0000,0.0000,14.6307,0.0000
352,-31.7035,0.0000,0.0000,0.0000,15.4278,0.0000
353,-33.0198,0.0000,0.0000,0.0000,16.1557,0.0000
354,-34.3135,0.0000,0.0000,0.0000,16.7985,0.0000
355,-35.5505,0.0000,0.0000,0.0000,17.5754,0.0000
356,-36.7634,0.0000,0.0000,0.0000,18.3225,0.0000
357,-37.9794,0.0000,0.0000,0.0000,19.0415,0.0000
358,-39.2602,0.0000,0.0000,0.0000,19.7995,0.0000
359,-40.4365,0.0000,0.0000,0.0000,20.4334,0.0000
360,-41.3081,0.0000,0.0000,0.0000,20.9174,0.0000
361,-42.3645,0.0000,0.0000,0.0000,21.5364,0.0000
362,-43.5136,0.0000,0.0000,0.0000,22.4244,0.0000
